customer_tier,claim_country,product_code,product_name,claim_count,total_claim_amount,average_claim_amount,approved_claims,rejected_claims,pending_claims,approval_rate
PLATINUM,FI,HEALTH,Health Insurance,1443,3.6888227639999956E7,25563.567318087287,459,492,492,31.81
SILVER,UK,LIFE,Life Insurance,1480,3.7050713920000024E7,25034.266162162177,512,462,506,34.59
UNKNOWN,SK,HEALTH,Health Insurance,290,7499937.109999999,25861.852103448273,104,99,87,35.86
SILVER,FR,HEALTH,Health Insurance,1439,3.67976474299999E7,25571.679937456498,473,490,476,32.87
UNKNOWN,FI,HEALTH,Health Insurance,274,6967524.270000003,25428.920693430668,81,89,104,29.56
GOLD,CH,HEALTH,Health Insurance,1481,3.710929468999996E7,25056.917413909494,496,486,499,33.49
GOLD,IT,HEALTH,Health Insurance,1514,3.778597027000005E7,24957.70823645974,472,527,515,31.18
BRONZE,SE,HEALTH,Health Insurance,1479,3.8770197010000005E7,26213.79108181204,492,502,485,33.27
SILVER,FR,LIFE,Life Insurance,1491,3.806639627000002E7,25530.78220657278,490,483,518,32.86
BRONZE,NL,HEALTH,Health Insurance,1511,3.873508460999999E7,25635.39682991396,480,521,510,31.77
GOLD,NO,HEALTH,Health Insurance,1473,3.638393476999997E7,24700.566714188713,499,479,495,33.88
SILVER,SE,LIFE,Life Insurance,1519,3.7732383719999984E7,24840.278946675433,503,502,514,33.11
UNKNOWN,CH,HEALTH,Health Insurance,277,7126629.879999999,25727.905703971115,87,92,98,31.41
UNKNOWN,IT,LIFE,Life Insurance,295,7536940.539999998,25548.95098305084,88,107,100,29.83
GOLD,UK,LIFE,Life Insurance,1550,3.869942115999996E7,24967.368490322555,496,532,522,32.0
SILVER,FI,HEALTH,Health Insurance,1561,3.884539538999998E7,24884.942594490698,540,517,504,34.59
PLATINUM,SK,LIFE,Life Insurance,1457,3.731314218999997E7,25609.56910775564,506,483,468,34.73
PLATINUM,ES,LIFE,Life Insurance,1608,4.019684328000003E7,24998.03686567166,526,541,541,32.71
GOLD,CH,LIFE,Life Insurance,1504,3.660490582000002E7,24338.368231382992,524,491,489,34.84
UNKNOWN,UK,LIFE,Life Insurance,280,7387106.610000008,26382.523607142884,109,84,87,38.93
GOLD,DE,HEALTH,Health Insurance,1542,3.920368152999995E7,25423.91798313875,503,522,517,32.62
UNKNOWN,SE,LIFE,Life Insurance,288,7234890.470000001,25121.14746527778,99,99,90,34.38
BRONZE,DE,HEALTH,Health Insurance,1474,3.792089428000003E7,25726.522578019016,508,462,504,34.46
BRONZE,CH,HEALTH,Health Insurance,1484,3.719042341000002E7,25060.932216981146,507,504,473,34.16
BRONZE,AT,HEALTH,Health Insurance,42727,1.0819555194399893E9,25322.524854073286,14149,14301,14277,33.11
UNKNOWN,FI,LIFE,Life Insurance,310,7963609.1899999995,25689.061903225804,116,103,91,37.42
PLATINUM,SE,HEALTH,Health Insurance,1494,3.7258714349999905E7,24938.89849397584,483,508,503,32.33
BRONZE,FI,LIFE,Life Insurance,1463,3.757625817000002E7,25684.386992481213,487,500,476,33.29
SILVER,SK,HEALTH,Health Insurance,1475,3.690703494000001E7,25021.71860338984,495,465,515,33.56
GOLD,FR,LIFE,Life Insurance,1452,3.650690247E7,25142.494814049587,511,486,455,35.19
PLATINUM,CH,LIFE,Life Insurance,1497,3.7162366760000035E7,24824.5602939212,472,503,522,31.53
