claim_country,risk_category,product_code,product_name,product_version,claim_count,total_claim_amount,average_claim_amount,approved_claims,rejected_claims,avg_premium,commission_rate,approval_rate,estimated_premium,estimated_commission
UK,LOW,HOME,Home Insurance,4,6398,1.6029171254E8,25053.409274773367,2100,2218,1639,6,32.82,10486322,629179.32
NL,LOW,HOME,Home Insurance,4,6187,1.5555381984000018E8,25142.042967512556,2155,2021,1639,6,34.83,10140493,608429.58
SE,MEDIUM,AUTO,Auto Insurance,3,6141,1.5452706087999988E8,25163.17552190195,2049,2072,1265,7,33.37,7768365,543785.55
SE,LOW,HOME,Home Insurance,4,6256,1.5593501627999964E8,24925.673957800456,2107,2056,1639,6,33.68,10253584,615215.04
IT,LOW,HOME,Home Insurance,4,6253,1.5757366316999954E8,25199.690255877107,2096,2147,1639,6,33.52,10248667,614920.02
FR,LOW,HOME,Home Insurance,4,6303,1.612732034100002E8,25586.73701570684,2097,2104,1639,6,33.27,10330617,619837.02
CH,LOW,HOME,Home Insurance,4,6248,1.5681226453000003E8,25097.993682778495,2098,2035,1639,6,33.58,10240472,614428.32
NL,MEDIUM,AUTO,Auto Insurance,3,6323,1.6197231019999918E8,25616.370425430836,2085,2079,1265,7,32.97,7998595,559901.65
UK,MEDIUM,AUTO,Auto Insurance,3,6314,1.5921202595E8,25215.715228064615,2128,2134,1265,7,33.7,7987210,559104.7
AT,MEDIUM,AUTO,Auto Insurance,3,181842,4.594373754650038E9,25265.745837870447,60912,60036,1265,7,33.5,230030130,1.61021091E7
AT,LOW,HOME,Home Insurance,4,180831,4.562258166690037E9,25229.40296016743,60187,60393,1639,6,33.28,296382009,1.778292054E7
SK,MEDIUM,AUTO,Auto Insurance,3,6291,1.5858003027000055E8,25207.444010491265,2071,2132,1265,7,32.92,7958115,557068.05
ES,LOW,HOME,Home Insurance,4,6394,1.6092779352999946E8,25168.563267125348,2135,2125,1639,6,33.39,10479766,628785.96
FI,LOW,HOME,Home Insurance,4,6170,1.555784844600005E8,25215.31352674238,2135,1983,1639,6,34.6,10112630,606757.8
FR,MEDIUM,AUTO,Auto Insurance,3,6305,1.6005353220999938E8,25385.175608247326,2086,2113,1265,7,33.08,7975825,558307.75
DE,MEDIUM,AUTO,Auto Insurance,3,6375,1.6073594406999984E8,25213.481422745073,2115,2171,1265,7,33.18,8064375,564506.25
FI,MEDIUM,AUTO,Auto Insurance,3,6307,1.598589041299997E8,25346.266708419167,2099,2138,1265,7,33.28,7978355,558484.85
NO,LOW,HOME,Home Insurance,4,6284,1.5753401563000044E8,25069.066777530305,2022,2126,1639,6,32.18,10299476,617968.56
SK,LOW,HOME,Home Insurance,4,6389,1.627023610699999E8,25466.0136281108,2111,2164,1639,6,33.04,10471571,628294.26
IT,MEDIUM,AUTO,Auto Insurance,3,6188,1.5572581006999955E8,25165.77409017446,2046,2061,1265,7,33.06,7827820,547947.4
ES,MEDIUM,AUTO,Auto Insurance,3,6209,1.5612215266000062E8,25144.492295055665,2100,2132,1265,7,33.82,7854385,549806.95
CH,MEDIUM,AUTO,Auto Insurance,3,6195,1.5924513576000026E8,25705.429501210696,2041,2156,1265,7,32.95,7836675,548567.25
NO,MEDIUM,AUTO,Auto Insurance,3,6255,1.5735794720000005E8,25157.145835331743,2131,2060,1265,7,34.07,7912575,553880.25
DE,LOW,HOME,Home Insurance,4,6242,1.5736436393000007E8,25210.567755527085,2087,2092,1639,6,33.43,10230638,613838.28
